53,HD현대,"136,200","1,100",-0.80%,"1,000","107,589","78,993",24.44,"64,634",21.09,6.36,
54,미래에셋증권,"18,790",50,-0.27%,"5,000","107,162","570,316",13.13,"572,722",13.78,7.94,
55,한화시스템,"53,900","2,800",+5.48%,"5,000","101,828","188,919",7.00,"2,186,809",22.48,19.63,
56,DB손해보험,"138,100",400,+0.29%,500,"97,775","70,800",44.24,"105,227",5.74,18.98,
57,한국항공우주,"95,900","2,400",+2.57%,"5,000","93,479","97,475",34.99,"434,428",56.11,10.42,
58,HD현대마린솔루션,"207,000","3,000",+1.47%,500,"92,796","44,829",30.13,"24,483",37.99,44.98,
59,TIGER 미국S&P500,"22,315",10,+0.04%,0,"91,201","408,700",0.05,"3,002,189",N/A,N/A,
60,유한양행,"113,600","1,000",+0.89%,"1,000","90,844","79,968",16.71,"83,241",115.10,3.41,
61,KODEX CD금리액티브(합성),"1,073,620",75,+0.01%,0,"89,329","8,320",0.00,"111,646",N/A,N/A,
62,두산,"529,000","4,000",-0.75%,"5,000","87,411","16,524",16.96,"23,050",-75.76,-14.57,
63,대한항공,"23,400",200,-0.85%,"5,000","86,164","368,221",16.58,"390,900",6.36,13.17,
64,포스코인터내셔널,"48,050",900,+1.91%,"5,000","84,531","175,923",5.78,"470,834",19.33,8.14,
65,에이피알,"224,000","1,500",-0.67%,100,"83,845","37,431",24.39,"239,945",48.31,41.34,
66,LS ELECTRIC,"274,500",500,+0.18%,"5,000","82,350","30,000",24.23,"47,172",35.32,13.44,
67,HD현대미포,"201,000","1,700",+0.85%,"5,000","80,284","39,942",22.56,"132,390",54.41,5.25,
68,KODEX 머니마켓액티브,"103,680",5,0.00%,0,"79,418","76,599",0.00,"296,623",N/A,N/A,
69,한미반도체,"82,800","1,300",+1.60%,100,"78,918","95,312",7.07,"135,772",37.35,27.43,
70,SK바이오팜,"99,200","1,200",+1.22%,500,"77,687","78,313",10.70,"54,440",30.35,58.01,
71,카카오페이,"57,100","1,100",-1.89%,500,"77,127","135,074",33.64,"417,387","1,631.43",-0.73,
72,코웨이,"101,900","3,000",-2.86%,500,"73,275","71,909",60.08,"37,672",12.89,19.38,
73,한진칼,"108,700","1,500",-1.36%,"2,500","72,571","66,762",20.80,"18,877",16.84,16.75,
74,한국금융지주,"127,700",800,-0.62%,"5,000","71,162","55,726",37.44,"50,989",6.80,11.54,
75,KODEX 200,"42,840",365,+0.86%,0,"70,108","163,650",31.06,"3,172,702",N/A,N/A,
76,아모레퍼시픽,"117,300",700,-0.59%,500,"68,612","58,493",22.86,"157,649",62.46,11.69,
77,NH투자증권,"19,060",60,-0.31%,"5,000","67,919","356,344",14.16,"159,984",9.87,8.73,
78,S-Oil,"59,100",400,-0.67%,"2,500","66,536","112,583",74.54,"96,896",-15.34,-2.18,
